"","displayName","defensiveTeam","x_stat","n_stat","a","b","BITE","BITE_LB","BITE_UB","BITE_probs"
"32","Sam Hubbard","CIN",33,38,95.1372366777081,26.1161041860375,83.1,74,86.2,12.8
"33","D.J. Wonnum","MIN",13,15,89.370549298529,20.9634621811364,83,74.5,87.9,26.1
"34","William Gholston","TB",23,24,92.6994903677288,23.749456209914,83,75.7,88.2,32.2
"35","Jamin Davis","WAS",43,50,97.7974879496881,29.1338158669161,82.9,73.4,85.2,6.6
"36","Yannick Ngakoue","IND",10,14,88.7316563302545,20.4765360762126,82.8,72.7,86.7,14
"37","Matt Milano","BUF",37,43,96.8459129489655,27.9920080616611,82.7,73.4,85.5,8
"38","Kwon Alexander","NYJ",41,45,97.8298374369778,29.1740275745854,82.6,74.5,86.2,13.6
"39","Derrick Brown","CAR",42,44,98.1354023806884,29.5587109470318,82.6,75.5,87,21.6
"40","Leighton Vander Esch","DAL",59,62,101.374719984372,34.3237240891968,82.4,75.4,86.3,15.1
"41","Montez Sweat","WAS",24,25,94.6426849442884,25.6091971025721,82.2,75,87.5,24.4
"42","Zach Allen","ARI",32,33,97.1634229531366,28.3644775080585,82,75.1,87.1,21.3
"43","Zaire Franklin","IND",82,94,104.67750343602,41.7007940517478,81.7,72.2,82.7,0.6
"44","Demarcus Lawrence","DAL",31,36,97.5335648421937,28.8093031606898,81.7,72.6,85,5.8
"45","Matt Judon","NE",22,23,95.3447569842279,26.3333138337391,81.7,74.4,87,19.1
"46","Brian Burns","CAR",31,38,97.6085380407243,28.9008520455776,81.7,71.6,84.1,2.8
"47","Sione Takitaki","CLE",34,35,98.3111870892438,29.7841070580948,81.6,74.8,86.7,17.7
"48","Akeem Davis-Gaither","CIN",31,31,98.1112793938176,29.5280170258649,81.4,75,87,20.4
"49","E.J. Speed","IND",29,29,97.8409481510612,29.1878609612423,81.3,74.8,87,19.7
"50","Travon Walker","JAX",30,37,98.2112471718009,29.6555861799797,81.2,71.1,83.8,2.1
"51","Danielle Hunter","MIN",29,35,98.2637248919878,29.7229473706093,81.1,71.4,84.1,2.7
"52","Markus Golden","ARI",26,28,97.6171440450838,28.9113927170875,81,73.4,85.9,10.3
"53","Al-Quadin Muhammad","CHI",18,22,95.5781384079272,26.5809023974709,81,71.8,85,5.6
"54","Yetur Gross-Matos","CAR",28,29,98.1354023806884,29.5587109470318,81,74,86.3,13.3
"55","Ta'Quon Graham","ATL",28,32,98.2826446676378,29.7473003159722,80.9,72.3,84.9,5
"56","Jaelan Phillips","MIA",26,36,98.0867322124055,29.4968413771877,80.8,69,82.1,0.4
"57","Dre'Mont Jones","DEN",25,29,97.8721622594422,29.2267853987703,80.8,72,84.8,4.6
"58","Haason Reddick","PHI",14,23,95.1156608850892,26.0936768799802,80.7,68.4,82.3,0.6
"59","Lorenzo Carter","ATL",24,27,98.2826446676378,29.7473003159722,80.4,72.1,84.9,5.2
"60","Malik Harrison","BAL",23,27,98.1213807541137,29.5408630350292,80.4,71.5,84.4,3.6
"61","Odafe Oweh","BAL",23,28,98.1213807541137,29.5408630350292,80.4,71,84,2.5
"62","Bradley Chubb","DEN",21,26,97.8721622594422,29.2267853987703,80.3,70.7,83.9,2.3
"63","Jayon Brown","LV",22,24,98.2032059031448,29.6452883967877,80.2,72.4,85.2,6.4
"64","Boye Mafe","SEA",21,22,98.1058310122982,29.5210923753424,80.1,72.8,85.6,8.5
"65","Jihad Ward","NYG",22,25,98.3680067930163,29.8576229808845,80.1,71.7,84.7,4.3
"66","Mack Wilson","NE",20,25,97.9602036166095,29.3370652495635,80.1,70.5,83.7,2
"67","Justin Hollins","LA",21,23,98.2256953608287,29.6741048348994,80.1,72.2,85.1,5.9
"68","Joe Tryon","TB",18,22,97.5495345848822,28.8287618815778,80,70.9,84.2,2.9
"69","Kwity Paye","IND",17,19,97.3995899916207,28.6469382328296,80,71.9,85.1,5.8
"70","Kyle Van Noy","LAC",20,22,98.2510949679424,29.7067104063174,79.9,72,85,5.4
"71","Khalil Mack","LAC",19,22,98.2510949679424,29.7067104063174,79.8,71.3,84.4,3.5
"72","Chris Wormley","PIT",18,19,98.1929788895962,29.6322007299965,79.7,72.2,85.3,6.7
"73","James Smith-Williams","WAS",16,18,97.7974879496881,29.1338158669161,79.6,71.5,84.8,4.7
"74","Oren Burks","SF",14,14,97.4208252337225,28.672569201381,79.5,72.5,85.8,9
"75","Jadeveon Clowney","CLE",10,11,96.3523930915186,27.4287834348119,79.5,71.7,85.3,6.7
"76","Arnold Ebiketie","ATL",17,19,98.2826446676378,29.7473003159722,79.5,71.4,84.7,4.2
"77","Poona Ford","SEA",16,17,98.1058310122982,29.5210923753424,79.4,71.9,85.1,5.9
"78","Uchenna Nwosu","SEA",33,39,101.68197617,34.8623918297142,79.4,70.2,82.7,0.7
"79","George Karlaftis","KC",15,20,97.9061135166315,29.2692262539105,79.4,69.6,83.2,1.3
"80","Carl Granderson","NO",15,15,97.9234602977834,29.290952323572,79.4,72.4,85.6,8.2
"81","Kaden Elliss","NO",15,18,97.9234602977834,29.290952323572,79.4,70.7,84.1,2.8
"82","Micheal Clemons","NYJ",14,14,97.8298374369778,29.1740275745854,79.3,72.3,85.6,7.8
"83","Terrel Bernard","BUF",14,15,97.9651049990888,29.3432261334802,79.2,71.6,85,5.3
"84","Za'Darius Smith","MIN",15,17,98.2637248919878,29.7229473706093,79.2,71.1,84.4,3.6
"85","Dennis Gardeck","ARI",12,14,97.6171440450838,28.9113927170875,79.1,70.8,84.4,3.5
"86","Michael Dogbe","ARI",12,14,97.6171440450838,28.9113927170875,79.1,70.8,84.4,3.5
"87","Victor Dimukeje","ARI",12,13,97.6171440450838,28.9113927170875,79.1,71.4,84.9,5.1
"88","Carlos Dunlap","KC",13,14,97.9061135166315,29.2692262539105,79.1,71.4,84.9,5
"89","Tanoh Kpassagnon","NO",13,14,97.9234602977834,29.290952323572,79.1,71.4,84.9,5
"90","Anfernee Jennings","NE",13,14,97.9602036166095,29.3370652495635,79.1,71.4,84.9,4.9
"91","Efe Obada","WAS",12,16,97.7974879496881,29.1338158669161,79,69.6,83.3,1.5
"92","Dorance Armstrong","DAL",11,13,97.5335648421937,28.8093031606898,79,70.7,84.4,3.3
"93","Shelby Harris","SEA",19,23,99.5534254185821,31.4717280355518,79,70,83.3,1.3
"94","Anthony Nelson","TB",11,13,97.5495345848822,28.8287618815778,79,70.7,84.4,3.3
"95","Carl Nassib","TB",11,13,97.5495345848822,28.8287618815778,79,70.7,84.4,3.3
"96","Tomon Fox","NYG",14,16,98.3680067930163,29.8576229808845,79,70.8,84.3,3.2
"97","Tyquan Lewis","IND",12,14,97.8409481510612,29.1878609612423,79,70.7,84.3,3.3
"98","Marquis Haynes","CAR",13,14,98.1354023806884,29.5587109470318,79,71.3,84.8,4.6
"99","Aidan Hutchinson","DET",13,16,98.2407057190989,29.693365944531,78.9,70.1,83.7,2
"100","Alex Wright","CLE",13,15,98.3111870892438,29.7841070580948,78.9,70.7,84.2,3
"101","Isaac Rochell","CLE",13,14,98.3111870892438,29.7841070580948,78.9,71.2,84.7,4.3
"102","Casey Toohill","WAS",11,13,97.7974879496881,29.1338158669161,78.9,70.5,84.2,3
"103","Dante Fowler","DAL",10,12,97.5335648421937,28.8093031606898,78.9,70.5,84.2,3.1
"104","Quinton Jefferson","SEA",12,13,98.1058310122982,29.5210923753424,78.9,71.1,84.7,4.3
"105","Henry Anderson","CAR",12,12,98.1354023806884,29.5587109470318,78.8,71.7,85.2,6.1
"106","Ogbonnia Okoronkwo","HOU",11,13,97.9300334797464,29.2991923296968,78.8,70.5,84.2,2.9
"107","Julian Okwara","DET",12,12,98.2407057190989,29.693365944531,78.8,71.7,85.1,5.8
"108","Trevis Gipson","CHI",13,14,98.5092794075377,30.0418369824406,78.8,71.1,84.6,4
"109","Dominique Robinson","CHI",10,11,97.737750162075,29.059812276931,78.8,70.9,84.7,4.1
"110","Brandon Graham","PHI",12,13,98.2900973519016,29.7569030072692,78.8,71,84.6,4
"111","Melvin Ingram","MIA",11,14,98.0867322124055,29.4968413771877,78.7,69.8,83.6,1.8
"112","DeMarvin Leal","PIT",10,12,97.8251089436382,29.1681438352397,78.7,70.3,84.1,2.7
"113","Kayvon Thibodeaux","NYG",12,14,98.3680067930163,29.8576229808845,78.7,70.4,84,2.6
"114","Jermaine Johnson","NYJ",10,10,97.8298374369778,29.1740275745854,78.7,71.5,85.1,5.8
"115","Kingsley Enagbare","GB",9,9,97.5672065643742,28.8503210124877,78.7,71.4,85.1,5.8
"116","Jonathon Cooper","DEN",10,11,97.8721622594422,29.2267853987703,78.7,70.9,84.6,3.9
"117","Matt Henningsen","DEN",10,10,97.8721622594422,29.2267853987703,78.7,71.5,85.1,5.7
"118","Cameron Thomas","ARI",9,9,97.6171440450838,28.9113927170875,78.7,71.4,85.1,5.7
"119","Leo Chenal","KC",10,14,97.9061135166315,29.2692262539105,78.7,69.1,83,1.1
"120","Terrell Lewis","LA",11,12,98.2256953608287,29.6741048348994,78.6,70.9,84.5,3.7
"121","Charles Omenihu","SF",8,9,97.4208252337225,28.672569201381,78.6,70.7,84.6,3.9
"122","Jonathan Bullard","MIN",11,11,98.2637248919878,29.7229473706093,78.6,71.5,85,5.3
"123","Jon Bostic","WAS",9,10,97.7974879496881,29.1338158669161,78.6,70.7,84.5,3.7
"124","Oshane Ximines","NYG",11,11,98.3680067930163,29.8576229808845,78.6,71.4,84.9,5.1
"125","DeMarcus Walker","TEN",9,10,97.8202806667933,29.1621380677943,78.6,70.7,84.5,3.7
"126","Kevin Strong","TEN",9,9,97.8202806667933,29.1621380677943,78.6,71.3,85,5.3
"127","Carl Lawson","NYJ",9,13,97.8298374369778,29.1740275745854,78.5,68.9,83,1.1
"128","Marcell Harris","NYJ",9,12,97.8298374369778,29.1740275745854,78.5,69.5,83.5,1.6
"129","Shaq Lawson","BUF",9,11,97.9651049990888,29.3432261334802,78.5,70,83.9,2.3
"130","Drake Jackson","SF",7,8,97.4208252337225,28.672569201381,78.5,70.5,84.5,3.6
"131","Abdullah Anderson","ATL",10,13,98.2826446676378,29.7473003159722,78.4,69.5,83.3,1.5
"132","Darrell Taylor","SEA",9,12,98.1058310122982,29.5210923753424,78.4,69.4,83.3,1.5
"133","Brent Urban","BAL",9,11,98.1213807541137,29.5408630350292,78.4,69.9,83.8,2.2
"134","Dayo Odeyingbo","IND",8,10,97.8409481510612,29.1878609612423,78.4,69.9,83.8,2.2
