"","displayName","defensiveTeam","x_stat","n_stat","a","b","BITE","BITE_LB","BITE_UB","BITE_probs"
"141","Naquan Jones","TEN",8,8,104.804761255901,42.1010579404047,72.8,65.6,79.5,5.8
"142","Osa Odighizuwa","DAL",17,19,105.758224770356,45.8285640671542,72.8,65,78.4,2.8
"143","Roy Lopez","HOU",11,11,105.426145170997,44.3380984364007,72.4,65.3,79,4.3
"144","Shy Tuttle","NO",21,22,106.447363019086,51.2524340462266,71.3,64.1,77.3,1.1
"145","Dalvin Tomlinson","MIN",16,20,106.337987152467,57.1160367674822,68.2,59.7,73.3,0
"146","Mike Purcell","DEN",22,24,105.66649434866,61.725971946247,67.4,59.9,73.2,0
"147","Raekwon Davis","MIA",19,20,105.739162872487,61.3548229013195,67,59.8,73.2,0
"148","David Onyemata","NO",12,16,105.841313740177,60.8024568294632,66,57.5,71.3,0
"149","Johnathan Hankins","LV",9,10,105.914402604471,60.3811080268477,65.6,58,72,0
"150","Johnathan Hankins","DAL",3,3,105.914402604471,60.3811080268477,64.3,57,71.4,0
"151","Josh Tupou","CIN",11,13,95.8562907345193,83.0754519699168,56.3,48.6,62.6,0
